"D","M1","M2","M3"
"100","1276.2266666666667","1024.6589147286822","1024.1162790697674"
"200","1356.9","1074.8014705882354","1074.5735294117646"
"300","1287.6933333333334","983.1641791044776","982.8432835820895"
"400","1524.3933333333334","988.2276422764228","987.959349593496"
"500","1143.8","955.9242424242424","955.560606060606"
"600","1143.02","918.3134328358209","917.9850746268656"
"700","1093.3133333333333","931.1940298507462","930.9104477611941"
"800","1373.5133333333333","907.709090909091","907.4909090909091"
"900","1041.8266666666666","865.8045112781955","865.5864661654135"
"1000","1044.4733333333334","901.7538461538461","901.4769230769231"
"1100","1121.44","887.177304964539","887.0070921985815"
"1200","1079.62","846.9694656488549","846.8396946564885"
"1300","1156.8266666666666","971.7175572519084","971.4274809160305"
"1400","1010.9466666666667","811.2651515151515","811.0757575757576"
"1500","1027.0733333333333","849.1526717557252","848.9236641221374"
"1600","1003.92","837.2941176470588","837.0514705882352"
"1700","1009.1","841.2205882352941","841.0588235294117"
"1800","957.2","754.74","754.4266666666666"
"1900","942.38","733.1733333333333","732.9933333333333"
"2000","998.5666666666667","816.84","816.68"
"2100","961.8866666666667","722.3933333333333","722.1866666666666"
"2200","1012.5066666666667","835.4866666666667","835.3133333333334"
"2300","912.3666666666667","743.4","743.24"
"2400","1054.8266666666666","827.9266666666666","827.6866666666666"
"2500","998.0733333333334","818.1866666666666","817.94"
"2600","910.2933333333333","729.68","729.4133333333333"
"2700","1037.14","846.9666666666667","846.78"
"2800","1221.52","850.3733333333333","850.0666666666667"
"2900","1133.1533333333334","893.4266666666666","893.1933333333334"
"3000","1038.62","825.44","825.14"
