"D","M1","M2","M3"
"100","997.0799999999999","788.98","589.47"
"150","933.61","765.28","633.46"
"200","951.05","752.5","653.4"
"250","989.57","736.12","631.0"
"300","1387.6399999999999","897.12","554.32"
"350","1050.2","711.0","597.9"
"400","1101.96","724.07","621.05"
"450","1153.74","724.79","611.54"
"500","1139.33","687.77","605.52"
"550","1209.29","715.8","611.61"
"600","1279.1399999999999","729.68","613.5"
"650","1268.8600000000001","683.04","566.32"
"700","1477.77","766.04","587.61"
"750","1391.03","717.7","598.35"
"800","1429.27","708.81","587.67"
"850","1416.6799999999998","681.04","586.26"
"900","1505.35","704.9","584.05"
"950","1481.1399999999999","662.61","574.95"
"1000","1504.33","657.28","577.08"
