"M","M1","M2","M3"
"10","83.88","31.395833333333332","28.041666666666668"
"20","85.775","35.452879581151834","31.56806282722513"
"30","83.98833333333333","33.91943957968476","30.910683012259195"
"40","84.26","34.034574468085104","30.80186170212766"
"50","117.11800000000001","67.89978448275862","38.27831715210356"
"60","147.29166666666669","97.82226211849192","39.9524236983842"
"70","178.83357142857142","128.82787509520182","41.63899466869764"
"80","205.07874999999999","155.63654353562006","41.79762689518787"
"90","229.365","179.6390358612581","41.58377425044092"
"100","254.6625","205.99199573105656","41.66008537886873"
"110","277.6127272727273","231.58582834331338","41.6497005988024"
"120","303.8175","257.0888485947416","41.66137805983681"
"130","329.98153846153843","280.0695970695971","41.51689051689052"
"140","359.0939285714286","311.26504188880426","42.115765422696114"
"150","388.4993333333333","343.8657865786579","42.81628162816282"
"160","422.34125000000006","372.51151315789474","43.13552631578948"
"170","448.0473529411764","399.9772088666875","43.28660630658757"
"180","493.9636111111111","444.4960375697094","44.796888758438506"
"190","507.1460526315789","462.99244186046514","44.11773255813954"
