"N","M1","M2","M3"
"1000","20.119999999999997","0.9583333333333334","3.34"
"1100","10.85","2.080808080808081","2.33"
"1200","12.66","3.32","3.02"
"1300","12.68","2.1237113402061856","3.01"
"1400","14.84","1.446808510638298","4.19"
"1500","12.74","3.18","3.08"
"1600","13.59","1.3737373737373737","4.19"
"1700","14.63","1.446808510638298","5.16"
"1800","13.9","1.7040816326530612","4.41"
"1900","19.61","1.6288659793814433","9.33"
"2000","18.68","1.31","8.09"
"2100","23.869999999999997","1.9484536082474226","13.09"
"2200","20.75","2.202020202020202","9.84"
"2300","17.369999999999997","1.163265306122449","7.31"
"2400","17.25","1.3775510204081634","7.11"
"2500","18.04","0.7676767676767676","8.04"
"2600","17.59","1.64","7.5"
"2700","25.16","1.7448979591836735","14.45"
"2800","27.139999999999997","1.4795918367346939","17.11"
"2900","22.54","1.125","12.05"
