"M","M1","M2","M3"
"10","21.098","1.5070993914807302","1.4705882352941178"
"15","20.349333333333334","1.4549180327868851","1.4207650273224044"
"20","19.968","1.4454638124362895","1.3914373088685015"
"25","18.2728","1.5153019023986767","1.4416873449131513"
"30","21.709333333333333","1.4805725971370143","1.4212678936605316"
"35","31.245142857142856","1.5486725663716814","1.494395280235988"
"40","28.535","1.4016186140617097","1.357106727364694"
"45","19.73111111111111","1.4383438343834383","1.387938793879388"
"50","38.9684","1.5478896103896105","1.499594155844156"
"55","27.75890909090909","1.5382615156017831","1.4840267459138188"
"60","36.72366666666667","1.5871716137836915","1.5305356533606278"
"65","43.83046153846154","1.6447657969192078","1.60295504558315"
"70","48.894","1.6032116788321167","1.5509489051094891"
"75","50.28293333333333","1.5820408163265307","1.5346938775510204"
"80","60.2095","1.5797655453618757","1.5293068297655454"
"85","51.43058823529412","1.627672351669469","1.5767475378332934"
"90","53.35288888888889","1.6619209039548022","1.6149152542372882"
"95","67.95978947368421","1.6359160958904109","1.584332191780822"
"100","68.8006","1.580375356997144","1.5350877192982457"
"105","74.184","1.57688578630987","1.5254993213108397"
"110","81.94254545454545","1.6627643504531722","1.6029078549848943"
"115","81.87147826086957","1.6220723917672109","1.5713271823988644"
"120","96.445","1.654867256637168","1.604492852280463"
"125","74.18704","1.5710569105691057","1.5278048780487805"
"130","89.59261538461539","1.6126804770872567","1.5657564344005022"
"135","97.96948148148148","1.599609375","1.5482271634615385"
"140","101.14357142857143","1.5947276940903823","1.5391077636152954"
"145","105.50620689655173","1.6251581166549542","1.574982431482783"
"150","110.65373333333334","1.486874154262517","1.4347767253044654"
