"N","M1","M2","M3"
"10000","191.68","119.69565217391305","117.12"
"12000","200.07999999999998","153.45454545454547","152.44"
"14000","270.91999999999996","213.7391304347826","214.04"
"16000","362.68","286.9130434782609","286.72"
"18000","435.52","366.7916666666667","366.28"
"20000","533.5600000000001","459.7083333333333","459.76"
"22000","765.8","580.52","580.04"
"24000","794.08","710.8333333333334","711.12"
"26000","959.4799999999999","852.0416666666666","850.76"
"28000","1173.4","1009.9166666666666","1011.04"
"30000","1277.28","1193.1818181818182","1192.04"
"32000","1470.6399999999999","1375.3181818181818","1380.84"
"34000","1736.48","1564.8","1562.56"
"36000","1887.0400000000002","1784.2916666666667","1786.0"
"38000","2139.52","2046.5","2045.56"
"40000","2403.88","2232.3809523809523","2236.6"
"42000","2568.04","2468.2608695652175","2458.88"
"44000","2780.92","2683.0","2658.2"
"46000","2998.2","2888.304347826087","2875.6"
"48000","3496.8","3106.590909090909","3066.2"
"50000","3807.88","3630.8636363636365","3610.56"
