"N","M1","M2","M3"
"1000","27.83","3.197389885807504","2.0346655791190864"
"1300","27.6836","2.4335778321108394","2.28280358598207"
"1600","47.2336","3.938211382113821","3.6410569105691057"
"1900","62.5932","5.086048454469507","4.753968253968254"
"2200","67.9736","6.6650165016501655","6.176980198019802"
"2500","81.1876","7.544672131147541","7.212704918032787"
"2800","103.7196","9.772577996715928","9.092364532019705"
"3100","105.7764","11.8504711183941","10.875460876689882"
"3400","136.1808","15.602163961714524","13.358718268830629"
"3700","140.5436","16.65539983511954","15.115828524319868"
"4000","142.4376","25.23438767234388","19.52514193025142"
"4300","162.174","25.01648804616653","20.89653751030503"
"4600","181.2276","32.03810720268007","25.10175879396985"
"4900","238.7644","35.4098014364174","27.87283481199831"
"5200","290.384","40.03752181500872","31.20113438045375"
"5500","271.1792","43.96506550218341","34.66637554585153"
"5800","301.0464","51.81030653043092","40.10839626832519"
"6100","288.6332","54.37332738626227","44.0878679750223"
"6400","302.0748","75.8804347826087","58.286086956521736"
"6700","269.182","95.44069385841537","73.50867323019222"
"7000","264.01","103.5002195871761","80.66886253842776"
"7300","283.2056","116.48713318284425","89.51467268623024"
"7600","312.8844","151.92958370239148","98.22355024347056"
"7900","311.5452","196.55664814023086","111.07781103035485"
"8200","340.0584","263.0185337726524","123.36285008237232"
"8500","388.5364","251.1763698630137","131.10402397260273"
"8800","394.2924","328.4490968801314","141.42775041050902"
"9100","420.7992","336.950642886769","148.20572376607217"
"9400","503.2168","339.8548733361958","167.09274366680978"
"9700","501.028","382.1434839842036","165.54322071083809"
"10000","515.7892","469.1646191646192","181.64496314496316"
