"M","M1","M2","M3"
"10","57.748","2.969199178644764","2.5030800821355235"
"15","16.834666666666667","1.8205128205128205","1.6734143049932524"
"20","12.727","1.7376387487386478","1.596367305751766"
"25","14.1144","1.4842360549717057","1.364591754244139"
"30","16.994","1.5814111261872457","1.4430122116689281"
"35","16.436","1.6039374638100752","1.420961204400695"
"40","17.732","1.666497719209326","1.5053218449062342"
"45","26.68888888888889","1.821009918845807","1.6298467087466186"
"50","26.7096","1.7936187399030694","1.6264135702746365"
"55","32.844727272727276","1.895549834497977","1.6800294225818315"
"60","29.103666666666665","1.8084096303831807","1.6293658867412681"
"65","31.136","1.7827856025039124","1.6084507042253522"
"70","31.213142857142856","1.8292753623188405","1.6469565217391304"
"75","38.6904","1.8761492698756084","1.6749594375338022"
"80","41.158","1.8373157092018302","1.6657346212506354"
"85","44.08705882352941","1.7948350071736012","1.6300813008130082"
"90","51.74466666666667","1.9726763717805151","1.7482642777155655"
"95","59.719157894736846","1.9860154905335627","1.7734509466437178"
"100","72.1792","1.993687639991855","1.750967216452861"
"105","68.82514285714285","2.1152199299338266","1.8363176333203581"
"110","79.62381818181818","1.9869912655640216","1.741779676760171"
"115","91.28539130434783","1.9812555260831124","1.7269672855879752"
"120","72.8615","1.9900438744515694","1.7352345595680054"
"125","98.75408","1.9505610668401365","1.7132867132867133"
"130","96.0703076923077","1.9430945289230286","1.7229973350054868"
"135","95.78459259259259","1.9567047504509922","1.721888153938665"
"140","116.07014285714286","1.9936102236421724","1.7438280569270985"
"145","111.88372413793104","2.1127608908810758","1.8223840874072"
"150","121.3012","2.0143923964697894","1.775152749490835"
