"M","M1","M2","M3"
"4","591.2","477.0","475.05"
"6","614.0","479.48148148148147","480.3333333333333"
"8","683.525","535.3055555555555","536.85"
"10","805.14","590.6458333333334","590.66"
"12","923.0","617.2037037037037","616.7"
"14","841.5285714285714","631.8656716417911","631.4"
"16","964.5375","649.6233766233767","648.875"
"18","924.0","708.8372093023256","659.5888888888888"
"20","995.4399999999999","803.7578947368421","702.8"
"22","1059.8363636363636","871.9417475728155","708.2272727272727"
"24","1109.05","906.7837837837837","720.875"
"26","1420.9692307692308","862.2583333333333","663.6"
"28","1205.7785714285715","954.3153846153846","698.6857142857143"
"30","1338.8200000000002","1079.9160839160838","721.18"
"32","1400.95625","1053.25","715.55625"
"34","1607.9117647058824","1283.9518072289156","779.5764705882353"
"36","1759.011111111111","1431.1781609195402","803.2722222222222"
"38","1769.7","1516.2888888888888","779.421052631579"
"40","2015.19","1420.5077720207255","750.155"
"42","1946.8428571428572","1618.0049504950496","777.7428571428571"
"44","2046.5909090909092","1736.8056872037914","778.9863636363636"
"46","2231.9304347826087","1913.6045454545454","807.6565217391304"
"48","2385.133333333333","1996.5848214285713","823.9375"
"50","2545.032","1902.8284518828452","797.144"
