"M","M1","M2","M3"
"4","595.8","509.35","473.05"
"6","545.6","477.5","433.5"
"8","610.575","523.975","446.225"
"10","660.8","578.0","491.44"
"12","772.1666666666667","644.3","536.1166666666667"
"14","825.9285714285713","702.3","584.2285714285714"
"16","1046.4375","827.65","595.3"
"18","908.2777777777777","792.6333333333333","615.6666666666666"
"20","938.4399999999999","840.96","633.46"
"22","1020.5272727272728","918.9090909090909","677.5363636363636"
"24","1076.0916666666667","986.1916666666667","699.75"
"26","1155.9384615384615","1063.3461538461538","702.7"
"28","1255.4285714285713","1175.5642857142857","715.0071428571429"
"30","1338.6","1228.6","717.4333333333333"
"32","1426.93125","1289.95625","729.13125"
"34","1512.4588235294118","1368.4941176470588","717.6529411764706"
"36","1513.0555555555554","1369.6444444444444","701.4166666666666"
"38","1696.5263157894738","1596.1631578947367","737.4105263157895"
"40","1863.295","1733.48","778.515"
"42","1979.1428571428573","1850.442857142857","791.4761904761905"
"44","2075.9045454545458","1918.790909090909","787.4545454545455"
"46","2249.9652173913046","1977.604347826087","770.591304347826"
"48","2160.4375","2013.2416666666666","750.7083333333334"
"50","2330.16","2213.804","778.0"
