"N","M1","M2","M3"
"10000","5156.2","501.65","135.35"
"11000","4292.7","410.2","181.25"
"12000","6561.35","641.15","204.45"
"13000","5754.05","556.45","255.9"
"14000","7224.0","698.15","309.6"
"15000","7583.7","737.25","362.7"
"16000","7530.5","735.2","413.3"
"17000","8547.8","835.65","497.15"
"18000","8903.3","874.2","576.65"
"19000","9218.0","906.4","669.85"
"20000","10992.15","1081.8","727.15"
"21000","10764.0","1063.45","854.45"
"22000","12024.55","1189.05","932.95"
"23000","13604.2","1336.35","1014.7"
"24000","14543.2","1439.45","1205.05"
"25000","16075.0","1592.05","1335.35"
"26000","17509.1","1735.75","1502.65"
"27000","18181.3","1804.95","1557.55"
"28000","19591.75","1944.65","1697.65"
"29000","20873.7","2071.7","1808.05"
"30000","22429.05","2225.4","1957.25"
"31000","24428.65","2429.0","2133.9"
"32000","25274.75","2510.35","2229.05"
"33000","28336.85","2818.7","2312.05"
"34000","28264.15","2809.65","2519.15"
"35000","30210.95","3007.2","2716.55"
"36000","31473.95","3131.95","2847.0"
"37000","33722.4","3352.95","3048.3"
"38000","35709.95","3554.8","3256.35"
"39000","39319.95","3913.0","3574.7"
"40000","41435.25","4124.95","3819.8"
"41000","44015.2","4382.25","3879.05"
"42000","44697.45","4455.65","4145.15"
"43000","46895.65","4671.8","4348.95"
"44000","52730.0","5246.05","4509.35"
"45000","53368.35","5321.9","4877.25"
"46000","54621.55","5445.25","4957.0"
"47000","56046.35","5586.95","5235.1"
"48000","59830.6","5967.1","5617.0"
"49000","61076.55","6092.15","5743.95"
