"N","M1","M2","M3"
"1000","1346.95","26.2","1.1"
"1100","1328.75","27.75","1.0"
"1200","1363.4","31.0","1.0"
"1300","1408.1","35.25","1.0"
"1400","1429.95","39.35","1.4"
"1500","1485.2","43.6","1.95"
"1600","1526.6","48.0","2.0"
"1700","1560.15","50.8","2.0"
"1800","1638.25","58.6","2.4"
"1900","1700.15","64.0","2.85"
