"N","M1","M2","M3"
"1000","7451.28","43.86","0.8"
"1100","8261.02","58.94","1.0"
"1200","8549.76","65.0","1.0"
"1300","9045.96","75.0","1.0"
"1400","9524.4","84.92","1.0"
"1500","9948.48","93.0","1.08"
"1600","10448.46","104.0","1.54"
"1700","10891.84","113.0","1.98"
"1800","11478.08","125.0","2.02"
"1900","12096.7","137.0","2.06"
