"M","M1","M2","M3"
"10","86.66","34.661458333333336","33.473958333333336"
"20","89.03999999999999","37.35526315789474","33.433766233766235"
"30","91.08","39.277296360485266","34.1525129982669"
"40","85.795","36.087186261558784","32.80581241743725"
"50","104.28299999999999","54.78656554712893","36.260822510822514"
"60","137.64333333333335","88.15066079295154","39.42819383259912"
"70","163.43714285714287","113.42661596958175","40.342205323193916"
"80","186.38875000000002","138.24258760107816","40.15420875420875"
"90","222.69","174.58114558472553","42.42959427207637"
"100","242.6455","193.3721545791424","41.08152461619905"
"110","265.0668181818182","215.2290368950647","40.70148538572113"
"120","289.3179166666667","239.3942731277533","40.585903083700444"
"130","314.5811538461538","264.37104622871044","40.83252230332522"
"140","347.05035714285714","297.0893665158371","41.676592536750846"
"150","377.2703333333333","327.4207381370826","42.34750527055517"
"160","399.09562500000004","353.55631868131866","42.393887362637365"
"170","429.514705882353","377.73651580905147","42.30068195908245"
"180","479.4316666666667","429.3971319871232","44.985074626865675"
"190","552.8144736842105","499.96395896867205","49.50734682561686"
