"M","M1","M2","M3"
"10","24.116","6.038775510204082","2.1653061224489796"
"15","16.397333333333332","6.408660351826793","1.3897158322056833"
"20","14.251","6.435091277890466","1.3874239350912778"
"25","15.3864","6.957326892109501","1.3349436392914653"
"30","17.554666666666666","8.435897435897436","1.4662618083670715"
"35","21.74685714285714","10.144353899883585","1.3119906868451687"
"40","17.906","8.963599595551061","1.5399393326592519"
"45","18.087555555555557","9.344843049327354","1.6318385650224214"
"50","33.8836","15.057283142389526","1.7152209492635024"
"55","35.20690909090909","16.384615384615383","1.7632561613144138"
"60","30.464666666666666","15.094557823129252","1.7085034013605442"
"65","39.252307692307696","18.90047244094488","1.7751181102362206"
"70","35.60285714285714","16.85911358966833","1.740534194305841"
"75","39.37146666666667","18.6762629005975","1.7775665399239544"
"80","46.4395","21.679989481987903","1.7189061267420458"
"85","71.43835294117648","33.82823698041089","1.7092689918776875"
"90","56.376444444444445","28.090558329550614","1.6806627326373127"
"95","58.98273684210526","28.424898221555605","1.7090207842296978"
"100","72.8032","35.01000612619971","1.684909128037574"
"105","62.38","30.479459980713596","1.6838958534233366"
"110","61.897090909090906","29.893142538561605","1.7299758409217618"
"115","94.2048695652174","44.46552949538024","1.7400497512437811"
"120","108.66383333333333","53.13071672354949","1.7370307167235495"
"125","117.1392","56.028422084286184","1.736687357072852"
"130","189.4923076923077","80.56691324815064","1.7273032952252858"
"135","142.3028148148148","67.46345514950166","1.6782424882983542"
"140","128.62971428571427","60.18385780885781","1.73266317016317"
"145","157.62110344827587","75.24783657256349","1.6843523904099873"
"150","147.57333333333332","72.32825673103073","1.7334783791134076"
