"N","M1","M2","M3"
"10000","185.32","116.48","99.28"
"12000","220.35999999999999","165.36","143.84"
"14000","262.08000000000004","222.36","198.68"
"16000","402.36","310.2","277.04"
"18000","495.03999999999996","402.2","362.32"
"20000","525.96","464.2","427.76"
"22000","629.04","561.04","518.64"
"24000","749.48","674.32","624.48"
"26000","883.6","795.36","738.84"
"28000","987.1200000000001","908.56","850.96"
"30000","1135.24","1046.4","987.0"
"32000","1277.2","1196.04","1133.44"
"34000","1485.0","1390.84","1282.48"
"36000","1620.6","1532.04","1451.28"
"38000","1828.8","1732.28","1635.88"
"40000","2041.44","1921.72","1816.2"
"42000","2167.6400000000003","2085.88","1992.92"
"44000","2427.52","2361.32","2261.52"
"46000","2682.44","2613.04","2467.2"
"48000","2923.7599999999998","2855.56","2750.8"
"50000","3171.08","3106.56","3002.64"
