"N","M1","M2","M3"
"1000","26.6576","3.395157981124333","3.256462864177267"
"1300","31.178","2.8567951318458418","2.810953346855984"
"1600","42.188","3.356589147286822","3.3047735618115057"
"1900","43.6584","4.602448979591837","4.542635658914729"
"2200","69.948","5.788264259335248","5.73409930242101"
"2500","97.7204","6.776192417448023","6.7309417040358746"
"2800","104.1128","8.230295566502463","8.182266009852217"
"3100","109.54","10.736645962732918","10.690683229813665"
"3400","156.8132","13.450102669404517","13.39753593429158"
"3700","180.914","17.307116104868914","17.248855597170206"
"4000","158.5664","25.23184242921625","25.123102174805087"
"4300","157.614","26.207916666666666","26.14125"
"4600","164.6168","30.569037656903767","30.494142259414225"
"4900","385.6112","33.25665313486694","33.148849797023004"
"5200","291.0176","43.827319587628864","43.756443298969074"
"5500","300.75","49.36677115987461","49.28213166144201"
"5800","289.8824","55.77171540811872","55.696639022261024"
"6100","417.0508","51.986654394845836","51.90381960423378"
"6400","366.6136","60.92841361025188","60.83826778612461"
"6700","396.4796","101.7402088772846","101.59747606614448"
"7000","407.844","91.16181988742964","91.05112570356472"
"7300","383.0868","116.46748522055479","116.34424738517508"
"7600","437.5916","137.19834330418774","137.03957662218133"
"7900","505.7244","135.0258064516129","134.8863523573201"
"8200","482.878","157.56735266604304","157.38400374181478"
"8500","510.1716","212.6137797185832","212.33624454148472"
"8800","570.9908","219.08780943484354","218.82718355908455"
"9100","592.4252","222.969251950436","222.77833868747132"
"9400","648.3868","253.09450337512055","252.94648023143685"
"9700","651.3088","279.45545023696684","279.2336492890995"
"10000","726.0936","339.68211009174314","339.3711009174312"
