"D","M1","M2","M3"
"100","1167.8","960.9920634920635","646.8095238095239"
"200","1169.9933333333333","962.8387096774194","706.0645161290323"
"300","1108.36","921.456","713.832"
"400","1293.9466666666667","949.1746031746031","781.3809523809524"
"500","1278.2933333333333","1073.2777777777778","884.8730158730159"
"600","1117.5733333333333","980.5882352941177","822.2279411764706"
"700","1185.0933333333332","904.3700787401575","779.2677165354331"
"800","1144.7666666666667","898.25","777.4117647058823"
"900","1056.04","894.9343065693431","806.8394160583941"
"1000","972.1533333333333","830.4285714285714","742.015037593985"
"1100","915.5733333333334","793.9197080291971","719.985401459854"
"1200","919.0933333333334","776.1838235294117","701.9411764705883"
"1300","918.8666666666667","774.26","708.3266666666667"
"1400","894.9266666666666","752.2266666666667","686.6866666666666"
"1500","910.8133333333334","724.5933333333334","658.7933333333333"
"1600","937.9666666666667","725.76","647.9"
"1700","937.1866666666666","718.48","643.0666666666667"
"1800","846.34","673.0","614.12"
"1900","895.42","650.7866666666666","583.8266666666667"
"2000","886.3333333333334","664.7133333333334","557.2"
"2100","784.98","602.8933333333333","542.38"
"2200","810.0533333333333","597.7666666666667","543.1866666666666"
"2300","886.1466666666666","616.4666666666667","552.3933333333333"
"2400","937.34","657.0733333333334","556.5533333333333"
"2500","764.7","597.14","545.1533333333333"
"2600","795.6","602.34","542.38"
"2700","1030.14","552.7466666666667","499.3333333333333"
"2800","991.58","586.8439716312057","520.3687943262412"
"2900","967.18","601.2","529.7133333333334"
"3000","1029.0866666666666","604.58","528.5866666666667"
